"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (stocks) (BSI.M.U2.Y.V.M10.X.1.U2.2300.Z01.E)"
"1980-01-31","1980Jan","444330"
"1980-02-29","1980Feb","447116"
"1980-03-31","1980Mar","451370"
"1980-04-30","1980Apr","453226"
"1980-05-31","1980May","455917"
"1980-06-30","1980Jun","458753"
"1980-07-31","1980Jul","464938"
"1980-08-31","1980Aug","465216"
"1980-09-30","1980Sep","466718"
"1980-10-31","1980Oct","473228"
"1980-11-30","1980Nov","476657"
"1980-12-31","1980Dec","473379"
"1981-01-31","1981Jan","476622"
"1981-02-28","1981Feb","480316"
"1981-03-31","1981Mar","481349"
"1981-04-30","1981Apr","482746"
"1981-05-31","1981May","486588"
"1981-06-30","1981Jun","487093"
"1981-07-31","1981Jul","488660"
"1981-08-31","1981Aug","489042"
"1981-09-30","1981Sep","493362"
"1981-10-31","1981Oct","494975"
"1981-11-30","1981Nov","497550"
"1981-12-31","1981Dec","499258"
"1982-01-31","1982Jan","504513"
"1982-02-28","1982Feb","507652"
"1982-03-31","1982Mar","512323"
"1982-04-30","1982Apr","517834"
"1982-05-31","1982May","519493"
"1982-06-30","1982Jun","525037"
"1982-07-31","1982Jul","527685"
"1982-08-31","1982Aug","534112"
"1982-09-30","1982Sep","537908"
"1982-10-31","1982Oct","540880"
"1982-11-30","1982Nov","548081"
"1982-12-31","1982Dec","551435"
"1983-01-31","1983Jan","556058"
"1983-02-28","1983Feb","561066"
"1983-03-31","1983Mar","564440"
"1983-04-30","1983Apr","569885"
"1983-05-31","1983May","574912"
"1983-06-30","1983Jun","581509"
"1983-07-31","1983Jul","586440"
"1983-08-31","1983Aug","589345"
"1983-09-30","1983Sep","590795"
"1983-10-31","1983Oct","593003"
"1983-11-30","1983Nov","597800"
"1983-12-31","1983Dec","603201"
"1984-01-31","1984Jan","605312"
"1984-02-29","1984Feb","607750"
"1984-03-31","1984Mar","610604"
"1984-04-30","1984Apr","613037"
"1984-05-31","1984May","618405"
"1984-06-30","1984Jun","620180"
"1984-07-31","1984Jul","623188"
"1984-08-31","1984Aug","630220"
"1984-09-30","1984Sep","633449"
"1984-10-31","1984Oct","636282"
"1984-11-30","1984Nov","641335"
"1984-12-31","1984Dec","649438"
"1985-01-31","1985Jan","655896"
"1985-02-28","1985Feb","660173"
"1985-03-31","1985Mar","662471"
"1985-04-30","1985Apr","662313"
"1985-05-31","1985May","664412"
"1985-06-30","1985Jun","667103"
"1985-07-31","1985Jul","673104"
"1985-08-31","1985Aug","676373"
"1985-09-30","1985Sep","681849"
"1985-10-31","1985Oct","688046"
"1985-11-30","1985Nov","691122"
"1985-12-31","1985Dec","698795"
"1986-01-31","1986Jan","702125"
"1986-02-28","1986Feb","709952"
"1986-03-31","1986Mar","724787"
"1986-04-30","1986Apr","722982"
"1986-05-31","1986May","730348"
"1986-06-30","1986Jun","729246"
"1986-07-31","1986Jul","737933"
"1986-08-31","1986Aug","743114"
"1986-09-30","1986Sep","748489"
"1986-10-31","1986Oct","756418"
"1986-11-30","1986Nov","758059"
"1986-12-31","1986Dec","760344"
"1987-01-31","1987Jan","767204"
"1987-02-28","1987Feb","770640"
"1987-03-31","1987Mar","777454"
"1987-04-30","1987Apr","785292"
"1987-05-31","1987May","788094"
"1987-06-30","1987Jun","796118"
"1987-07-31","1987Jul","800728"
"1987-08-31","1987Aug","803222"
"1987-09-30","1987Sep","809350"
"1987-10-31","1987Oct","815589"
"1987-11-30","1987Nov","816949"
"1987-12-31","1987Dec","815428"
"1988-01-31","1988Jan","824174"
"1988-02-29","1988Feb","827054"
"1988-03-31","1988Mar","832408"
"1988-04-30","1988Apr","843094"
"1988-05-31","1988May","848492"
"1988-06-30","1988Jun","854395"
"1988-07-31","1988Jul","863859"
"1988-08-31","1988Aug","868224"
"1988-09-30","1988Sep","869720"
"1988-10-31","1988Oct","877198"
"1988-11-30","1988Nov","881397"
"1988-12-31","1988Dec","882693"
"1989-01-31","1989Jan","888361"
"1989-02-28","1989Feb","893464"
"1989-03-31","1989Mar","908243"
"1989-04-30","1989Apr","901575"
"1989-05-31","1989May","907746"
"1989-06-30","1989Jun","920566"
"1989-07-31","1989Jul","926896"
"1989-08-31","1989Aug","933145"
"1989-09-30","1989Sep","935497"
"1989-10-31","1989Oct","941093"
"1989-11-30","1989Nov","947348"
"1989-12-31","1989Dec","956837"
"1990-01-31","1990Jan","965584"
"1990-02-28","1990Feb","965756"
"1990-03-31","1990Mar","965508"
"1990-04-30","1990Apr","966414"
"1990-05-31","1990May","972359"
