"DATE","TIME PERIOD","Overnight deposits vis-a-vis euro area NFCs reported by MFIs, central gov. and POGIs in the euro area (stocks) (BSI.M.U2.Y.V.L21.A.1.U2.2240.Z01.E)"
"2003-01-31","2003Jan","574942"
"2003-02-28","2003Feb","578304"
"2003-03-31","2003Mar","571939"
"2003-04-30","2003Apr","582616"
"2003-05-31","2003May","582840"
"2003-06-30","2003Jun","588628"
"2003-07-31","2003Jul","594190"
"2003-08-31","2003Aug","598584"
"2003-09-30","2003Sep","605473"
"2003-10-31","2003Oct","612868"
"2003-11-30","2003Nov","620864"
"2003-12-31","2003Dec","618036"
"2004-01-31","2004Jan","619314"
"2004-02-29","2004Feb","623648"
"2004-03-31","2004Mar","629996"
"2004-04-30","2004Apr","636920"
"2004-05-31","2004May","633753"
"2004-06-30","2004Jun","638669"
"2004-07-31","2004Jul","644172"
"2004-08-31","2004Aug","648888"
"2004-09-30","2004Sep","655485"
"2004-10-31","2004Oct","656268"
"2004-11-30","2004Nov","657341"
"2004-12-31","2004Dec","660160"
"2005-01-31","2005Jan","668361"
"2005-02-28","2005Feb","673468"
"2005-03-31","2005Mar","683277"
"2005-04-30","2005Apr","684939"
"2005-05-31","2005May","696282"
"2005-06-30","2005Jun","711258"
"2005-07-31","2005Jul","728695"
"2005-08-31","2005Aug","728267"
"2005-09-30","2005Sep","720164"
"2005-10-31","2005Oct","739249"
"2005-11-30","2005Nov","741959"
"2005-12-31","2005Dec","748786"
"2006-01-31","2006Jan","753391"
"2006-02-28","2006Feb","758510"
"2006-03-31","2006Mar","757483"
"2006-04-30","2006Apr","765961"
"2006-05-31","2006May","778310"
"2006-06-30","2006Jun","775738"
"2006-07-31","2006Jul","783084"
"2006-08-31","2006Aug","787534"
"2006-09-30","2006Sep","789482"
"2006-10-31","2006Oct","794154"
"2006-11-30","2006Nov","803856"
"2006-12-31","2006Dec","833411"
"2007-01-31","2007Jan","825125"
"2007-02-28","2007Feb","835026"
"2007-03-31","2007Mar","844434"
"2007-04-30","2007Apr","847761"
"2007-05-31","2007May","852846"
"2007-06-30","2007Jun","853874"
"2007-07-31","2007Jul","852695"
"2007-08-31","2007Aug","848760"
"2007-09-30","2007Sep","851419"
"2007-10-31","2007Oct","852167"
"2007-11-30","2007Nov","857330"
"2007-12-31","2007Dec","855420"
"2008-01-31","2008Jan","856366"
"2008-02-29","2008Feb","858800"
"2008-03-31","2008Mar","858963"
"2008-04-30","2008Apr","854903"
"2008-05-31","2008May","859975"
"2008-06-30","2008Jun","857194"
"2008-07-31","2008Jul","853745"
"2008-08-31","2008Aug","857405"
"2008-09-30","2008Sep","872412"
"2008-10-31","2008Oct","869243"
"2008-11-30","2008Nov","873738"
"2008-12-31","2008Dec","855097"
"2009-01-31","2009Jan","887004"
"2009-02-28","2009Feb","883213"
"2009-03-31","2009Mar","881693"
"2009-04-30","2009Apr","888557"
"2009-05-31","2009May","898912"
"2009-06-30","2009Jun","909806"
"2009-07-31","2009Jul","923239"
"2009-08-31","2009Aug","940068"
"2009-09-30","2009Sep","952041"
"2009-10-31","2009Oct","965015"
"2009-11-30","2009Nov","968221"
"2009-12-31","2009Dec","968786"
"2010-01-31","2010Jan","978637"
"2010-02-28","2010Feb","982541"
"2010-03-31","2010Mar","989807"
"2010-04-30","2010Apr","1006568"
"2010-05-31","2010May","1005273"
"2010-06-30","2010Jun","997036"
"2010-07-31","2010Jul","994105"
"2010-08-31","2010Aug","995716"
"2010-09-30","2010Sep","992593"
"2010-10-31","2010Oct","992836"
"2010-11-30","2010Nov","993959"
"2010-12-31","2010Dec","1005904"
"2011-01-31","2011Jan","1004299"
"2011-02-28","2011Feb","1009967"
"2011-03-31","2011Mar","1018838"
"2011-04-30","2011Apr","1011954"
"2011-05-31","2011May","1008798"
"2011-06-30","2011Jun","1016474"
"2011-07-31","2011Jul","1015664"
"2011-08-31","2011Aug","1012747"
