"DATE","TIME PERIOD","Overnight deposits vis-a-vis euro area households reported by MFIs, central gov. and POGIs in the euro area (stocks) (BSI.M.U2.Y.V.L21.A.1.U2.2250.Z01.E)"
"2003-01-31","2003Jan","1215746"
"2003-02-28","2003Feb","1232736"
"2003-03-31","2003Mar","1241075"
"2003-04-30","2003Apr","1252125"
"2003-05-31","2003May","1250880"
"2003-06-30","2003Jun","1260470"
"2003-07-31","2003Jul","1274539"
"2003-08-31","2003Aug","1286475"
"2003-09-30","2003Sep","1294323"
"2003-10-31","2003Oct","1303914"
"2003-11-30","2003Nov","1310240"
"2003-12-31","2003Dec","1318229"
"2004-01-31","2004Jan","1329464"
"2004-02-29","2004Feb","1334275"
"2004-03-31","2004Mar","1346408"
"2004-04-30","2004Apr","1353202"
"2004-05-31","2004May","1360904"
"2004-06-30","2004Jun","1367013"
"2004-07-31","2004Jul","1373384"
"2004-08-31","2004Aug","1382663"
"2004-09-30","2004Sep","1391517"
"2004-10-31","2004Oct","1399564"
"2004-11-30","2004Nov","1410008"
"2004-12-31","2004Dec","1412764"
"2005-01-31","2005Jan","1421878"
"2005-02-28","2005Feb","1434378"
"2005-03-31","2005Mar","1438824"
"2005-04-30","2005Apr","1447311"
"2005-05-31","2005May","1457535"
"2005-06-30","2005Jun","1628240"
"2005-07-31","2005Jul","1640529"
"2005-08-31","2005Aug","1650290"
"2005-09-30","2005Sep","1663312"
"2005-10-31","2005Oct","1667962"
"2005-11-30","2005Nov","1681406"
"2005-12-31","2005Dec","1689669"
"2006-01-31","2006Jan","1698151"
"2006-02-28","2006Feb","1704019"
"2006-03-31","2006Mar","1710607"
"2006-04-30","2006Apr","1714619"
"2006-05-31","2006May","1723348"
"2006-06-30","2006Jun","1726048"
"2006-07-31","2006Jul","1728089"
"2006-08-31","2006Aug","1729273"
"2006-09-30","2006Sep","1734553"
"2006-10-31","2006Oct","1740958"
"2006-11-30","2006Nov","1742104"
"2006-12-31","2006Dec","1750516"
"2007-01-31","2007Jan","1747426"
"2007-02-28","2007Feb","1754172"
"2007-03-31","2007Mar","1756432"
"2007-04-30","2007Apr","1766034"
"2007-05-31","2007May","1769613"
"2007-06-30","2007Jun","1778500"
"2007-07-31","2007Jul","1781194"
"2007-08-31","2007Aug","1783530"
"2007-09-30","2007Sep","1782221"
"2007-10-31","2007Oct","1776518"
"2007-11-30","2007Nov","1782693"
"2007-12-31","2007Dec","1785528"
"2008-01-31","2008Jan","1789706"
"2008-02-29","2008Feb","1782282"
"2008-03-31","2008Mar","1790075"
"2008-04-30","2008Apr","1793824"
"2008-05-31","2008May","1789988"
"2008-06-30","2008Jun","1783106"
"2008-07-31","2008Jul","1782318"
"2008-08-31","2008Aug","1771086"
"2008-09-30","2008Sep","1789803"
"2008-10-31","2008Oct","1802240"
"2008-11-30","2008Nov","1812542"
"2008-12-31","2008Dec","1827719"
"2009-01-31","2009Jan","1876572"
"2009-02-28","2009Feb","1907922"
"2009-03-31","2009Mar","1938577"
"2009-04-30","2009Apr","1978546"
"2009-05-31","2009May","1994166"
"2009-06-30","2009Jun","2016072"
"2009-07-31","2009Jul","2044245"
"2009-08-31","2009Aug","2068343"
"2009-09-30","2009Sep","2096186"
"2009-10-31","2009Oct","2121625"
"2009-11-30","2009Nov","2147485"
"2009-12-31","2009Dec","2169151"
"2010-01-31","2010Jan","2187368"
"2010-02-28","2010Feb","2197801"
"2010-03-31","2010Mar","2201277"
"2010-04-30","2010Apr","2207810"
"2010-05-31","2010May","2215634"
"2010-06-30","2010Jun","2233511"
"2010-07-31","2010Jul","2240841"
"2010-08-31","2010Aug","2247730"
"2010-09-30","2010Sep","2244093"
"2010-10-31","2010Oct","2247935"
"2010-11-30","2010Nov","2252560"
"2010-12-31","2010Dec","2259230"
"2011-01-31","2011Jan","2262020"
"2011-02-28","2011Feb","2260288"
"2011-03-31","2011Mar","2265488"
"2011-04-30","2011Apr","2262958"
"2011-05-31","2011May","2263066"
"2011-06-30","2011Jun","2265613"
"2011-07-31","2011Jul","2267234"
"2011-08-31","2011Aug","2271420"
"2011-09-30","2011Sep","2278088"
"2011-10-31","2011Oct","2277895"
"2011-11-30","2011Nov","2268531"
"2011-12-31","2011Dec","2260324"
"2012-01-31","2012Jan","2259731"
"2012-02-29","2012Feb","2254736"
"2012-03-31","2012Mar","2257320"
"2012-04-30","2012Apr","2271689"
"2012-05-31","2012May","2274929"
"2012-06-30","2012Jun","2291042"
"2012-07-31","2012Jul","2298951"
"2012-08-31","2012Aug","2313157"
"2012-09-30","2012Sep","2326148"
"2012-10-31","2012Oct","2331666"
"2012-11-30","2012Nov","2341834"
"2012-12-31","2012Dec","2359568"
"2013-01-31","2013Jan","2367517"
"2013-02-28","2013Feb","2394016"
"2013-03-31","2013Mar","2409223"
"2013-04-30","2013Apr","2422861"
"2013-05-31","2013May","2438202"
"2013-06-30","2013Jun","2447565"
"2013-07-31","2013Jul","2467344"
"2013-08-31","2013Aug","2484958"
"2013-09-30","2013Sep","2499315"
"2013-10-31","2013Oct","2525150"
"2013-11-30","2013Nov","2533369"
"2013-12-31","2013Dec","2538720"
"2014-01-31","2014Jan","2552829"
"2014-02-28","2014Feb","2566792"
"2014-03-31","2014Mar","2579571"
"2014-04-30","2014Apr","2589417"
"2014-05-31","2014May","2608806"
"2014-06-30","2014Jun","2624843"
"2014-07-31","2014Jul","2638640"
"2014-08-31","2014Aug","2662531"
"2014-09-30","2014Sep","2680851"
"2014-10-31","2014Oct","2700478"
"2014-11-30","2014Nov","2728870"
"2014-12-31","2014Dec","2748996"
"2015-01-31","2015Jan","2785950"
"2015-02-28","2015Feb","2810580"
"2015-03-31","2015Mar","2834882"
"2015-04-30","2015Apr","2858928"
"2015-05-31","2015May","2886739"
