"DATE","TIME PERIOD","Bank interest rates - overnight deposits - euro area (MIR.M.U2.B.L21.A.R.A.2230.EUR.N)","Bank interest rates - overnight deposits from corporations - euro area (MIR.M.U2.B.L21.A.R.A.2240.EUR.N)","Bank interest rates - overnight deposits from households - euro area (MIR.M.U2.B.L21.A.R.A.2250.EUR.N)"
"2000-01-31","2000Jan","","1.2100","1.2900"
"2000-02-29","2000Feb","","1.2400","1.2700"
"2000-03-31","2000Mar","","1.2800","1.2800"
"2000-04-30","2000Apr","","1.3300","1.3000"
"2000-05-31","2000May","","1.3800","1.3200"
"2000-06-30","2000Jun","","1.4000","1.3900"
"2000-07-31","2000Jul","","1.4700","1.4000"
"2000-08-31","2000Aug","","1.4800","1.4300"
"2000-09-30","2000Sep","","1.5300","1.4500"
"2000-10-31","2000Oct","","1.6100","1.4800"
"2000-11-30","2000Nov","","1.6400","1.5100"
"2000-12-31","2000Dec","","1.6200","1.4900"
"2001-01-31","2001Jan","","1.6200","1.4200"
"2001-02-28","2001Feb","","1.6500","1.4400"
"2001-03-31","2001Mar","","1.6600","1.4400"
"2001-04-30","2001Apr","","1.6800","1.4500"
"2001-05-31","2001May","","1.6600","1.4000"
"2001-06-30","2001Jun","","1.5800","1.3800"
"2001-07-31","2001Jul","","1.5800","1.3700"
"2001-08-31","2001Aug","","1.5900","1.3800"
"2001-09-30","2001Sep","","1.5100","1.2600"
"2001-10-31","2001Oct","","1.4200","1.1800"
"2001-11-30","2001Nov","","1.3500","1.1000"
"2001-12-31","2001Dec","","1.2700","1.0700"
"2002-01-31","2002Jan","","1.2700","1.0500"
"2002-02-28","2002Feb","","1.2700","1.0500"
"2002-03-31","2002Mar","","1.2700","1.0600"
"2002-04-30","2002Apr","","1.2900","1.0600"
"2002-05-31","2002May","","1.3000","1.0600"
"2002-06-30","2002Jun","","1.2700","1.0400"
"2002-07-31","2002Jul","","1.2800","1.0500"
"2002-08-31","2002Aug","","1.2800","1.0400"
"2002-09-30","2002Sep","","1.2600","1.0300"
"2002-10-31","2002Oct","","1.2700","1.0100"
"2002-11-30","2002Nov","","1.2500","1.0200"
"2002-12-31","2002Dec","","1.1800","0.9200"
"2003-01-31","2003Jan","0.9800","1.1900","0.8900"
"2003-02-28","2003Feb","1.0000","1.2100","0.9100"
"2003-03-31","2003Mar","0.9600","1.1400","0.8700"
"2003-04-30","2003Apr","0.9300","1.1300","0.8400"
"2003-05-31","2003May","0.9300","1.1000","0.8500"
"2003-06-30","2003Jun","0.8300","0.9900","0.7600"
"2003-07-31","2003Jul","0.7600","0.9300","0.6900"
"2003-08-31","2003Aug","0.7600","0.9200","0.6800"
"2003-09-30","2003Sep","0.7600","0.9100","0.6900"
"2003-10-31","2003Oct","0.7600","0.9200","0.6900"
"2003-11-30","2003Nov","0.7600","0.8900","0.6900"
"2003-12-31","2003Dec","0.7500","0.8600","0.7000"
"2004-01-31","2004Jan","0.7600","0.8900","0.7000"
"2004-02-29","2004Feb","0.7500","0.8800","0.7000"
"2004-03-31","2004Mar","0.7600","0.8700","0.7100"
"2004-04-30","2004Apr","0.7600","0.8700","0.7000"
"2004-05-31","2004May","0.7500","0.8600","0.7100"
"2004-06-30","2004Jun","0.7600","0.8700","0.7000"
"2004-07-31","2004Jul","0.7500","0.8600","0.7000"
"2004-08-31","2004Aug","0.7600","0.8700","0.7200"
"2004-09-30","2004Sep","0.7800","0.9000","0.7200"
"2004-10-31","2004Oct","0.7800","0.9000","0.7200"
"2004-11-30","2004Nov","0.7800","0.9000","0.7300"
"2004-12-31","2004Dec","0.7800","0.9100","0.7300"
"2005-01-31","2005Jan","0.8000","0.9400","0.7400"
"2005-02-28","2005Feb","0.8000","0.9400","0.7400"
"2005-03-31","2005Mar","0.8100","0.9400","0.7400"
"2005-04-30","2005Apr","0.8000","0.9500","0.7400"
"2005-05-31","2005May","0.8100","0.9500","0.7500"
"2005-06-30","2005Jun","0.7700","0.9400","0.7000"
"2005-07-31","2005Jul","0.7500","0.9400","0.6800"
"2005-08-31","2005Aug","0.7700","0.9700","0.6800"
"2005-09-30","2005Sep","0.7700","0.9700","0.6900"
"2005-10-31","2005Oct","0.7700","0.9700","0.6900"
"2005-11-30","2005Nov","0.7900","1.0000","0.7000"
"2005-12-31","2005Dec","0.8000","1.0200","0.7100"
"2006-01-31","2006Jan","0.8200","1.0500","0.7300"
"2006-02-28","2006Feb","0.8400","1.0800","0.7400"
"2006-03-31","2006Mar","0.8800","1.1500","0.7600"
"2006-04-30","2006Apr","0.9000","1.1600","0.7900"
"2006-05-31","2006May","0.9100","1.1800","0.7900"
"2006-06-30","2006Jun","0.9300","1.2300","0.8100"
"2006-07-31","2006Jul","0.9400","1.2400","0.8100"
"2006-08-31","2006Aug","0.9900","1.3200","0.8500"
"2006-09-30","2006Sep","1.0100","1.3600","0.8600"
"2006-10-31","2006Oct","1.0700","1.4600","0.9000"
"2006-11-30","2006Nov","1.0900","1.4900","0.9100"
"2006-12-31","2006Dec","1.1100","1.5200","0.9200"
"2007-01-31","2007Jan","1.1800","1.6100","0.9800"
"2007-02-28","2007Feb","1.2000","1.6400","1.0000"
"2007-03-31","2007Mar","1.2400","1.7100","1.0200"
"2007-04-30","2007Apr","1.2700","1.7500","1.0400"
"2007-05-31","2007May","1.2900","1.7800","1.0600"
"2007-06-30","2007Jun","1.3000","1.7800","1.0800"
"2007-07-31","2007Jul","1.3300","1.8200","1.1000"
"2007-08-31","2007Aug","1.3800","1.8900","1.1400"
"2007-09-30","2007Sep","1.4000","1.9100","1.1600"
"2007-10-31","2007Oct","1.4300","1.9700","1.1700"
