"Obs. Date","Obs. value","Series key","Indicator title","Units","Obs. status"
"2003-01","115.96","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-02","105.22","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-03","115.48","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-04","113.03","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-05","107.84","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-06","106.79","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-07","115.22","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-08","96.30","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-09","109.29","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-10","107.74","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-11","101.50","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-12","107.79","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-01","111.95","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-02","92.68","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-03","105.34","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-04","104.44","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-05","97.32","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-06","94.96","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-07","100.36","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-08","92.76","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2004-09","94.40","MIR.M.U2.B.L22.F.B.A.2250.EUR.N","From households - With an agreed maturity - up to 1yr","EUR billions","A"
"2003-01","5.14","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-02","2.82","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-03","2.90","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-04","2.66","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-05","2.41","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-06","2.18","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-07","2.56","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-08","2.50","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-09","2.63","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-10","3.04","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-11","2.84","MIR.M.U2.B.L22.G.B.A.2250.EUR.N","From households - With an agreed maturity - over 1 and up to 2yrs","EUR billions","A"
"2003-01","8.09","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-02","8.08","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-03","6.07","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-04","6.00","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-05","7.53","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-06","6.67","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-07","5.77","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-08","4.74","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
"2003-09","5.37","MIR.M.U2.B.L22.H.B.A.2250.EUR.N","From households - With an agreed maturity - over 2yrs","EUR billions","A"
